,GaiaEDR3,RA_ICRS,DE_ICRS,GLON,GLAT,Plx,Gmag,BPmag,RPmag,Var,Hmag,Jmag,Ksmag,Probv1,ZeroPoint,pmGLON,pmGLAT,d50kin,dmaxpdfkin,xkin,ykin,zkin,rpgeo,xphotogeo,yphotogeo,zphotogeo,_RA_icrs,_DE_icrs,RAJ2000,DEJ2000
51,1454879283434612480,205.5325116592,28.4249540541,42.4644263081,78.7179200931,0.101,15.643701,15.837998,15.274572,0.1649446644,14.911,14.941,14.714,0.9965820312,-0.0338269994,-2.8160000000000003,0.37000000000000005,3.8913509846,3.8273508549,0.5523730548,0.5055260845,3.7533907274,4536.67322783,654.74427208,599.21515964,4449.00608077,205.5325116592,28.424954054100002,205.5325116592,28.4249540541
52,1454879287729213568,205.5306800845,28.4260235166,42.4704008538,78.7194603002,0.042,15.912299,16.30847,15.30654,0.0072410741,14.116,14.44,13.942,0.9965820312,-0.0340790004,-2.5130000000000003,0.34900000000000003,4.1195793152,4.0225791931,0.5804152803,0.5313012642,3.9448676066,7651.25369566,1103.99431432,1010.57569443,7503.44030663,205.5306800845,28.4260235166,205.5306800845,28.4260235166
53,1454879528247455488,205.5612881905,28.4754257754,42.7131591826,78.6893954507,0.0893,15.673976,15.840879,15.32806,0.2703042404,14.968,15.043,14.757,0.9975585938,-0.0335789993,-2.6950000000000003,0.42800000000000005,4.1698174477,4.093817234,0.5899457213,0.5446371641,4.0143086517,4585.15178247,660.75022917,610.00379864,4496.10068488,205.5612881905,28.4754257754,205.5612881905,28.4754257754
54,1454879837485103360,205.5837914625,28.4701079789,42.6794221593,78.670011807,0.0972,15.623808,15.854838,15.231881,0.1698323062,14.67,14.884,14.51,0.998046875,-0.0338429995,-2.6580000000000004,0.324,3.9657559395,3.9317560196,0.5678583894,0.5236271551,3.8551338303,4791.22233219,691.98998693,638.08997983,4697.85083545,205.5837914625,28.4701079789,205.5837914625,28.4701079789
55,1454891416716749312,205.5028035135,28.4777167903,42.7425515159,78.7405327615,0.0741,15.605888,15.758892,15.325668,0.147095593,14.858,14.985,14.826,0.9965820312,-0.0333160013,-2.6090000000000004,0.43700000000000006,4.2029838562,4.1289839745,0.5920774968,0.5471680841,4.0495135494,4462.05137666,639.83784537,591.30578319,4376.17041377,205.50280351349997,28.4777167903,205.5028035135,28.4777167903
56,1454779472691876608,205.5888277815,28.2588148851,41.6040063404,78.677622506,0.1122,15.564108,15.82319,15.134571,0.0065899995,14.376,14.57,14.211,0.9995117188,-0.0339899994,-2.801,0.22100000000000003,4.0563702583,3.9533703327,0.5803762141,0.5153546911,3.8764300561,5282.77071337,775.53940273,688.65308334,5179.95771948,205.5888277815,28.258814885099998,205.5888277815,28.2588148851
57,1454780194246441728,205.6160107827,28.2971880269,41.793004543,78.6518226484,0.0759,15.726049,15.769169,15.626148,0.011539374,15.547,15.514,15.312,0.998046875,-0.0325409994,-2.6050000000000004,0.08700000000000001,4.1413192749,4.0973191261,0.6010922555,0.5373064595,4.0172146931,7276.31348796,1067.4627852,954.18738883,7134.05828434,205.6160107827,28.297188026900002,205.6160107827,28.2971880269
58,1454780366045066880,205.5391196197,28.2648401472,41.6455116317,78.7210629266,0.0753,15.815249,16.054094,15.367338,0.1505613586,14.614,14.727,14.626,0.9487304688,-0.0337669998,-2.6420000000000003,0.18500000000000003,3.7798509598,3.705851078,0.541630054,0.481651575,3.6342785883,5145.89014789,752.09950421,668.81427296,5046.50564433,205.5391196197,28.264840147199997,205.5391196197,28.2648401472
59,1454780709642463744,205.514330351,28.3009525423,41.8357259075,78.741037748,0.0782,15.652408,15.859559,15.25382,0.2255762524,14.556,14.719,14.555,0.986328125,-0.0337539986,-2.5520000000000005,0.36500000000000005,4.0127940178,3.9797940254,0.5789340529,0.5182767112,3.9032019033,8950.43933007,1302.00560208,1165.58903059,8778.18590742,205.51433035099998,28.3009525423,205.514330351,28.3009525423
60,1454780709642466816,205.5194665949,28.3023530809,41.8416755271,78.7364483502,0.0551,15.734409,15.937675,15.259326,0.1564958708,14.954,15.0,14.794,0.5751953125,-0.0338069983,-2.8070000000000004,-0.010000000000000002,3.3095197678,3.2645196915,0.4750311866,0.4253490509,3.2016421369,4459.89926896,648.97486978,581.1004682,4373.99763987,205.51946659489997,28.302353080900005,205.5194665949,28.3023530809
61,1454780881441179392,205.578974163,28.2964192091,41.7975521303,78.6844303531,0.0372,15.696299,15.976421,15.334848,0.2865408022,14.732,14.908,14.664,0.982421875,-0.0338560008,-2.7550000000000003,0.30000000000000004,4.3916749954,4.3476748466,0.6359664835,0.5685707728,4.2631620284,10661.74885616,1559.57268366,1394.29902209,10454.49912494,205.578974163,28.296419209100005,205.578974163,28.2964192091
62,1454780950160671104,205.5578059161,28.3155273703,41.8998320364,78.7020466478,0.1092,15.616117,15.83809,15.232082,0.2083023082,14.548,14.668,14.568,0.9946289062,-0.0338709988,-2.8150000000000004,0.35700000000000004,3.796295166,3.7232949734,0.5429282261,0.4871387636,3.6511436873,4585.1330435,668.60084081,599.89768673,4496.28076389,205.5578059161,28.315527370300003,205.5578059161,28.3155273703
63,1454781053240023680,205.6068575974,28.3416720754,42.0209768137,78.6575230776,0.095,15.595743,15.752217,15.289739,0.1182097191,14.71,14.889,14.719,0.9985351562,-0.0334049985,-2.8560000000000003,0.18200000000000002,4.1018624306,4.0288624763,0.5886506178,0.5304137619,3.9501752549,4422.9952841,646.23672855,582.30271724,4336.61030291,205.60685759739997,28.341672075399998,205.6068575974,28.3416720754
64,1454781087599723264,205.5933011044,28.3368721704,41.9999091105,78.6696991361,0.0716,15.494827,15.777801,15.021996,0.0067532996,14.268,14.51,14.179,0.9995117188,-0.0341599993,-2.615,0.258,4.1576933861,4.1466937065,0.6054253451,0.5451256902,4.0658783588,8288.76843191,1210.17631001,1089.64416775,8127.22775638,205.5933011044,28.3368721704,205.5933011044,28.3368721704
65,1454781255101389952,205.5463341676,28.342673107,42.0410416697,78.710655188,0.1064,15.667235,15.811197,15.19788,0.2278670635,14.376,14.534,14.349,0.9794921875,-0.0337110013,-2.829,0.335,3.5726563931,3.4806563854,0.5060420866,0.4562991251,3.4133094481,4416.5113283,642.10320144,578.98569465,4331.05660978,205.54633416759998,28.342673107000003,205.5463341676,28.342673107
66,1454781255101406720,205.5567617184,28.3476286515,42.0636948067,78.7012160025,0.0459,15.718202,15.808914,15.197352,0.1987194569,14.559,14.716,14.628,0.0744018555,-0.0336810015,-2.5450000000000004,0.5760000000000001,3.1091988087,3.0591988564,0.4449759704,0.4015547786,2.9999079633,3917.5105891,569.82175977,514.21799342,3841.58459923,205.55676171839997,28.347628651500003,205.5567617184,28.3476286515
