,Id,GaiaEDR3,Name,RAJ2000,DEJ2000,Bmag,Vmag,recno,distance
1710,221001,1454880009283805568,M3-S646     ,205.60672189395,28.49886803839,15.931,15.922,29788,8.090874389696395
1130,220362,1454796854420286464,M3-S217     ,205.41527598699,28.39792937279,19.55,19.1,29208,8.083935974399013
52,220051,0,M3-S1187    ,205.41395133336,28.3706620219,22.919,22.11,2455,8.077636797699228
1637,220847,1454878909772221184,M3-S668     ,205.65365990003,28.4612212393,18.554,17.981,29715,8.077282321340569
544,219940,1454783522842100352,M3-S170     ,205.41477780342,28.36128529867,20.291,19.83,28622,8.075496736900583
30,220074,0,M3-S1123    ,205.41398935318,28.37185983552,22.573,21.813,2433,8.072145227049857
285,218871,1454778098304070272,M3-1564     ,205.53838794629,28.24321386761,19.166,18.761,28363,8.066259801094137
777,219992,1454785000310504832,M3-S172     ,205.41449796359,28.36558698018,20.512,20.043,28855,8.065637565715562
540,219889,1454783522841744384,M3-S169     ,205.41551516851,28.35736820963,20.458,20.0,28618,8.063024705469974
447,219485,1454782457689798144,M3-S1499    ,205.42822346687,28.31739722861,18.31,17.646,28525,8.056959435849464
1636,220827,1454878909772173696,M3-S670     ,205.65564096769,28.45791879283,17.716,17.014,29714,8.04991011186156
809,220146,1454785069029999488,M3-S183     ,205.41426480611,28.37769620472,19.422,19.005,28887,8.04911093208188
496,219765,1454783316683304192,M3-S171     ,205.41727684339,28.34910983827,18.267,17.581,28574,8.04780234764161
1133,220338,1454796854427173760,M3-S216     ,205.41563110352,28.39566553646,19.803,19.378,29211,8.043126333884898
807,220099,1454785069029994112,M3-S1124    ,205.414452823,28.37391860432,20.602,20.123,28885,8.04031602665683
1128,220317,1454796854420280448,M3-S211     ,205.4156252861,28.39368303087,20.471,20.006,29206,8.028020526201859
1236,220934,1454797816493071104,M3-S539     ,205.46227205594,28.47950735728,19.278,18.84,29314,8.021132723756624
541,219945,1454783522841750784,M3-S177     ,205.41569746335,28.3617092122,19.935,19.497,28619,8.017707749414075
502,219737,1454783320982452096,M3-S174     ,205.41836590767,28.34684500058,19.111,18.64,28580,8.013793057814377
1222,220695,1454797442834960384,M3-S341     ,205.42814569473,28.43528243356,20.352,19.896,29300,8.011646269525365
336,219040,1454779777630045696,M3-1591     ,205.61247830391,28.26012774785,18.526,17.891,28414,8.011275417910536
1181,220635,1454797060578759168,M3-S312     ,205.4245376428,28.42707713869,19.609,19.213,29259,8.010820451489923
1719,221042,1454880181079545600,M3-S620     ,205.54539737304,28.5107478163,19.496,19.09,29797,8.010296828772576
1149,220481,1454796957499517568,M3-S257     ,205.41899482409,28.40958028899,19.851,19.419,29227,8.003501465771418
823,220150,1454785073330879360,M3-S190     ,205.41513907115,28.37818369018,20.254,19.807,28901,7.996800776733689
1184,220652,1454797060578762624,M3-S321     ,205.4260717392,28.42970040109,20.343,19.904,29262,7.986162537611002
539,219877,1454783522841744256,M3-S178     ,205.41700428327,28.35669653204,20.408,19.942,28617,7.9808108509959705
1796,221026,1454891549858552448,M3-S581     ,205.51388421953,28.50549028767,19.262,18.837,29874,7.966927110955665
1721,221040,1454880181083056640,M3-S618     ,205.5435898304,28.50989616818,19.316,18.887,29799,7.962417249450488
1155,220471,1454796961793431424,M3-S259     ,205.41955394745,28.40891829385,20.252,19.811,29233,7.961391852562497
1814,221036,1454891927815681152,M3-S600     ,205.52917472521,28.50854880068,18.98,18.43,29892,7.960467593899953
1479,220468,1454875572579969152,M3-1626     ,205.6770714283,28.40837423166,18.458,18.224,29557,7.9416198204581505
1709,220985,1454879974924066560,M3-S644     ,205.60503288905,28.49690520287,16.809,16.071,29787,7.940967483334626
1720,221039,1454880181082309888,M3-S619     ,205.54529208342,28.50957615111,18.43,17.783,29798,7.9401616646773645
550,219911,1454783527140886144,M3-S181     ,205.41735544205,28.35949991014,20.23,19.779,28628,7.935642455819714
54,220057,0,M3-S1189    ,205.41631345749,28.37085089366,22.644,21.905,2457,7.935524915787793
438,219180,1454782118391716224,M3-S1526    ,205.46290345192,28.27646773444,15.857,15.673,28516,7.931560631223399
471,219532,1454783217903233280,M3-S534     ,205.42703927358,28.32517956416,15.478,14.63,28549,7.925101206618584
1157,220441,1454796961798606080,M3-S255     ,205.41968592008,28.40569980197,18.984,18.48,29235,7.9098319155920445
1797,221018,1454891554155708032,M3-S795     ,205.51268848479,28.50417363909,17.478,16.767,29875,7.9098144402701
490,219635,1454783316683293184,M3-S186     ,205.42258528074,28.33841183133,20.122,19.657,28568,7.901767934003519
776,219923,1454785000310498816,M3-S184     ,205.4179517746,28.36000712183,19.25,18.82,28854,7.896137415497969
1162,220577,1454796991859270912,M3-S297     ,205.42400104205,28.42000639598,19.192,18.756,29240,7.892881536742625
472,219593,1454783247963808128,M3-S195     ,205.42450965246,28.33346462076,20.021,18.876,28550,7.8854490758202616
806,220082,1454785069029992192,M3-S1190    ,205.41716159185,28.37230278651,20.574,20.098,28884,7.880917767058763
491,219670,1454783316683295360,M3-S188     ,205.42226517995,28.34153627131,19.692,19.272,28569,7.86696540679438
323,218918,1454779507051603328,M3-S1592    ,205.55515214205,28.24642730183,18.433,17.797,28401,7.861378303785628
783,220044,1454785000310511744,M3-S197     ,205.41763122876,28.36947182841,19.394,18.958,28861,7.8610481190904995
500,219782,1454783320977219968,M3-S187     ,205.42025968234,28.35009921049,20.136,19.691,28578,7.860383349160171
448,219482,1454782461988987776,M3-S736     ,205.432127285,28.31709377749,17.344,16.779,28526,7.856354614510332
1146,220422,1454796957499510656,M3-S258     ,205.42035559018,28.4041767923,20.354,19.875,29224,7.851308336868006
1716,221032,1454880176785156864,M3-S612     ,205.53882707755,28.50770471573,18.974,18.418,29794,7.846783498445283
1819,221031,1454891932112831104,M3-S610     ,205.53589776754,28.50732987192,15.868,15.698,29897,7.839237226849623
1707,220990,1454879970626697600,M3-S1629    ,205.5991931359,28.49748938666,19.204,18.777,29785,7.829789752740751
1152,220544,1454796957499528320,M3-S289     ,205.42387186686,28.41606517262,20.057,19.619,29230,7.826669046616226
1724,221020,1454880245504625536,M3-S633     ,205.57482670148,28.50485165013,18.197,17.896,29802,7.816785748019818
325,218929,1454779541411343360,M3-S826     ,205.55898352067,28.2475110764,16.22,15.16,28403,7.811729815805223
538,219837,1454783522841739392,M3-S194     ,205.42045791944,28.35390522109,20.423,19.96,28616,7.804501108211106
1790,220955,1454891446779286016,M3-S1537    ,205.47502140999,28.4846584475,19.006,18.479,29868,7.804046898612971
790,219962,1454785004609638016,M3-S198     ,205.41917702357,28.36284545687,19.813,19.395,28868,7.802534003568066
1131,220373,1454796854420289152,M3-S249     ,205.42026306788,28.39926837709,18.921,18.432,29209,7.801567844873671
313,219105,1454779159154782336,M3-1546     ,205.47640883128,28.26903552294,19.415,19.003,28391,7.800288387715262
778,220012,1454785000310507008,M3-S200     ,205.41881465912,28.36713235113,19.169,18.747,28856,7.799866489302003
830,220284,1454785103391479168,M3-S230     ,205.41920585632,28.39060381465,20.206,19.749,28908,7.793735611803215
1148,220463,1454796957499515520,M3-S272     ,205.42217799822,28.40781841172,20.144,19.699,29226,7.792799196933315
492,219692,1454783316683298560,M3-S199     ,205.42310905457,28.34355395635,19.88,19.399,28570,7.785927516080414
828,220296,1454785103389755264,M3-S235     ,205.41953660647,28.39155383534,20.051,19.6,28906,7.780065165174555
829,220331,1454785103389761792,M3-S244     ,205.4201025327,28.39529378891,19.698,19.275,28907,7.7743309720787215
1642,220872,1454878978491651200,M3-S1666    ,205.64186433156,28.46703025497,19.248,18.818,29720,7.77416585985887
302,218959,1454778854216571136,M3-S1574    ,205.52140218814,28.25069529348,17.562,16.904,28380,7.765927378246748
1482,220603,1454875641299470208,M3-1623     ,205.66941768328,28.42281039185,19.772,19.367,29560,7.757119933831103
342,219279,1454779915069070720,M3-1608     ,205.6425134023,28.28863923815,19.379,18.985,28420,7.756255939781242
1224,220760,1454797442834967040,M3-S739     ,205.43787104289,28.44407857683,15.801,15.67,29302,7.749677254823607
1794,221004,1454891519795968896,M3-S1566    ,205.50795518011,28.49976917479,19.01,18.492,29872,7.740095541492909
1818,221023,1454891932110065024,M3-S605     ,205.53338685433,28.50503138436,19.425,19.003,29896,7.718122089859843
473,219601,1454783247963809152,M3-S209     ,205.42712602615,28.33445991463,19.735,19.261,28551,7.7175396339774975
1712,221013,1454880146723460480,M3-S632     ,205.57260536353,28.50325714747,16.339,15.512,29790,7.696885234455199
1156,220363,1454796961798603776,M3-S263     ,205.42194037437,28.39799098015,19.667,19.242,29234,7.689639150685999
439,219231,1454782118391717376,M3-S1524    ,205.46212795575,28.28252477858,18.724,18.082,28517,7.689277999933338
782,220028,1454785000310509568,M3-S212     ,205.42072154681,28.36837462227,19.684,19.27,28860,7.680263832517023
775,219902,1454785000310498304,M3-S207     ,205.42179462115,28.35865613249,18.94,18.399,28853,7.678994533095534
1820,221019,1454891932113577344,M3-S604     ,205.53289602995,28.50425996012,18.818,18.331,29898,7.675672600644573
792,220090,1454785004609641472,M3-S221     ,205.42075530688,28.37331354088,19.714,19.295,28870,7.663332282621037
779,219999,1454785000310507136,M3-S213     ,205.42121332486,28.36595283826,19.741,19.323,28857,7.662344675541597
1718,221017,1454880181079542912,M3-S606     ,205.53376814524,28.504102522,20.201,19.754,29796,7.660116294594607
1223,220691,1454797442834962176,M3-S680     ,205.43442049026,28.43466171887,14.875,13.867,29301,7.657462760106104
791,220059,1454785004609640320,M3-S219     ,205.42104093234,28.37092157337,19.927,19.495,28869,7.65201133771707
440,219313,1454782182811825280,M3-S748     ,205.45322087606,28.29246033986,16.214,15.384,28518,7.649935872498088
436,219174,1454782114092301568,M3-S1533    ,205.47117594083,28.27586204529,18.933,18.457,28514,7.648769260861712
1430,220045,1454874683524290816,M3-S887     ,205.67563517888,28.36951868773,17.939,17.265,29508,7.6473315073320425
1226,220857,1454797575974888832,M3-S535     ,205.45503136317,28.46400150829,18.993,18.506,29304,7.646606478853543
1165,220613,1454796991859278080,M3-S338     ,205.43003792763,28.4242581749,18.472,17.809,29243,7.641606881205216
808,220138,1454785069029997696,M3-S228     ,205.42136974335,28.37710603184,19.135,18.657,28886,7.6227823012339675
1163,220595,1454796991859274880,M3-S328     ,205.42951978048,28.42203580221,19.812,19.399,29241,7.622518022879069
